customerID,ChurnProbability,HighRisk
7590-VHVEG,0.24,0
5575-GNVDE,0.01,0
3668-QPYBK,0.8,1
7795-CFOCW,0.01,0
9237-HQITU,0.9,1
9305-CDSKC,1.0,1
1452-KIOVK,0.2,0
6713-OKOMC,0.05,0
7892-POOKP,0.92,1
6388-TABGU,0.01,0
9763-GRSKD,0.01,0
7469-LKBCI,0.01,0
8091-TTVAX,0.13,0
0280-XJGEX,0.87,1
5129-JLPIS,0.21,0
3655-SNQYZ,0.01,0
8191-XWSZG,0.02,0
9959-WOFKT,0.06,0
4190-MFLUW,0.7,0
4183-MYFRB,0.16,0
8779-QRDMV,0.97,1
1680-VDCWW,0.05,0
1066-JKSGK,0.9407142857142857,1
3638-WEABW,0.01,0
6322-HRPFA,0.01,0
6865-JZNKO,0.06,0
6467-CHFZW,0.81,1
8665-UTDHZ,0.83,1
5248-YGIJN,0.0,0
8773-HHUOZ,0.6,0
3841-NFECX,0.03,0
4929-XIHVW,0.3,0
6827-IEAUQ,0.02,0
7310-EGVHZ,0.2286904761904762,0
3413-BMNZE,0.27,0
6234-RAAPL,0.02,0
6047-YHPVI,0.94,1
6572-ADKRS,0.11,0
5380-WJKOV,0.83,1
8168-UQWWF,1.0,1
8865-TNMNX,0.04,0
9489-DEDVP,0.0,0
9867-JCZSP,0.05,0
4671-VJLCL,0.01,0
4080-IIARD,0.09,0
3714-NTNFO,0.16,0
5948-UJZLF,0.13,0
7760-OYPDY,0.87,1
7639-LIAYI,0.01,0
2954-PIBKO,0.0,0
8012-SOUDQ,0.14,0
9420-LOJKX,0.81,1
6575-SUVOI,0.1,0
7495-OOKFY,0.89,1
4667-QONEA,0.03,0
1658-BYGOY,0.82,1
8769-KKTPH,0.13,0
5067-XJQFU,0.11,0
3957-SQXML,0.0,0
5954-BDFSG,0.05,0
0434-CSFON,0.19,0
1215-FIGMP,0.1,0
0526-SXDJP,0.01,0
0557-ASKVU,0.07,0
5698-BQJOH,0.87,1
5122-CYFXA,0.26,0
8627-ZYGSZ,0.1,0
3410-YOQBQ,0.04,0
3170-NMYVV,0.0,0
7410-OIEDU,0.09,0
2273-QCKXA,0.22,0
0731-EBJQB,0.01,0
1891-QRQSA,0.13,0
8028-PNXHQ,0.0,0
5630-AHZIL,0.09,0
2673-CXQEU,0.1,0
6416-JNVRK,0.06,0
5590-ZSKRV,0.03,0
0191-ZHSKZ,0.05,0
3887-PBQAO,0.01,0
5919-TMRGD,0.94,1
8108-UXRQN,0.07,0
9191-MYQKX,0.89,1
9919-YLNNG,0.1,0
0318-ZOPWS,0.0,0
4445-ZJNMU,0.35,0
4808-YNLEU,0.02,0
1862-QRWPE,0.0,0
2796-NNUFI,0.0,0
3016-KSVCP,0.08,0
4767-HZZHQ,0.11,0
2424-WVHPL,0.13,0
7233-PAHHL,0.0,0
6067-NGCEU,0.12,0
9848-JQJTX,0.01,0
8637-XJIVR,0.76,1
9803-FTJCG,0.02,0
0278-YXOOG,0.62,0
3212-KXOCR,0.03,0
4598-XLKNJ,0.82,1
6380-ARCEH,0.267436507936508,0
3679-XASPY,0.08,0
7123-WQUHX,0.06,0
5386-THSLQ,0.05,0
3192-NQECA,0.61,0
6180-YBIQI,0.11,0
6728-DKUCO,0.06,0
9750-BOOHV,0.04,0
8597-CWYHH,0.09,0
2848-YXSMW,0.0,0
0486-HECZI,0.69,0
4549-ZDQYY,0.06,0
5712-AHQNN,0.08,0
4846-WHAFZ,0.85,1
5256-SKJGO,0.02,0
3071-VBYPO,0.13,0
9560-BBZXK,0.01,0
5299-RULOA,0.85,1
8402-OOOHJ,0.0,0
9445-ZUEQE,0.1,0
1091-SOZGA,0.06,0
2928-HLDBA,0.04,0
0404-SWRVG,0.89,1
6497-TILVL,0.04,0
7219-TLZHO,0.14,0
4622-YNKIJ,0.02,0
4412-YLTKF,0.93,1
6734-PSBAW,0.0,0
3930-ZGWVE,0.5058333333333332,0
2639-UGMAZ,0.06,0
2876-GZYZC,0.22,0
6207-WIOLX,0.73,1
8587-XYZSF,0.01,0
3091-FYHKI,0.98,1
2372-HWUHI,0.79,1
7799-LGRDP,0.01,0
7850-VWJUU,0.14,0
3774-VBNXY,0.0,0
6217-KDYWC,0.02,0
0390-DCFDQ,0.87,1
3146-MSEGF,0.03,0
4080-OGPJL,0.77,1
1095-WGNGG,0.09,0
2636-SJDOU,0.01,0
1131-QQZEB,0.0,0
5716-EZXZN,0.0,0
6837-BJYDQ,0.02,0
2135-RXIHG,0.96,1
6440-DKQGE,0.03,0
3466-BYAVD,0.05,0
3780-YVMFA,0.09,0
