OriginalFeature,Importance
TotalCharges,0.19114850829669228
tenure,0.17479507491204047
MonthlyCharges,0.16902586176358603
PaymentMethod,0.06501999982133205
Contract,0.052090520050936916
InternetService,0.04167536426803368
OnlineSecurity,0.036137259379111476
TechSupport,0.02859827722088687
gender,0.02850112512959665
DeviceProtection,0.02777193610817087
OnlineBackup,0.027324422904773632
PaperlessBilling,0.025096505497438932
MultipleLines,0.02408255345217295
Partner,0.022727032611014625
StreamingTV,0.022034211265320108
SeniorCitizen,0.02003958419202285
Dependents,0.019742706614379508
StreamingMovies,0.019696918560113248
PhoneService,0.004492137952376959
